Time (ms),Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
1582130734470,8.92267175572519,-5.516641221374046,-20.466564885496183,-0.008489379882812509,-0.0006799316406250061,-1.0366070556640625
1582130734575,3.0295419847328233,-5.654045801526718,-19.611603053435115,0.0002996826171874911,-0.032906494140625006,-1.0311138916015625
1582130734681,-1.0620610687022907,-2.768549618320611,-11.687938931297708,-0.006536254882812509,-0.084908447265625,-1.0204937744140625
1582130734786,0.11351145038167898,-0.40213740458015285,-2.2070229007633584,-0.004094848632812509,-0.101265869140625,-1.0176861572265625
1582130734892,-1.0773282442748096,2.345954198473282,0.8922137404580153,-0.002630004882812509,-0.102974853515625,-1.0167095947265625
1582130734996,1.960839694656488,14.483358778625956,-0.5276335877862595,0.02044128417968749,-0.085762939453125,-1.0117047119140625
1582130735101,1.9913740458015263,27.384122137404578,-3.6268702290076336,0.014826049804687491,-0.086495361328125,-1.0478375244140625
1582130735205,10.296717557251908,42.31541984732824,-9.611603053435115,0.04363464355468749,-0.112984619140625,-1.1071636962890625
1582130735311,19.853969465648856,57.59786259541985,-14.268091603053435,0.07647155761718749,-0.13141723632812502,-1.2003033447265625
1582130735417,18.23564885496183,64.57496183206106,-21.70320610687023,0.10222839355468749,-0.17060180664062502,-1.3213970947265625
1582130735521,12.373053435114503,63.12458015267176,-18.283358778625956,0.1478826904296875,-0.18671508789062502,-1.4166119384765625
1582130735640,4.708931297709923,47.13984732824428,-9.68793893129771,0.1970770263671875,-0.274849853515625,-1.4847271728515625
1582130735730,1.6554961832061064,36.498625954198474,0.9685496183206106,0.2264959716796875,-0.289010009765625,-1.5899517822265625
1582130735835,-0.5277099236641226,19.85740458015267,4.938015267175572,0.2850897216796875,-0.24469848632812502,-1.6058209228515625
1582130735940,-4.726183206106871,5.368854961832061,3.4570992366412217,0.2676336669921875,-0.24982543945312502,-1.6273052978515625
1582130736046,2.0066412213740454,-22.31053435114504,7.243358778625955,0.2047674560546875,-0.259591064453125,-1.6365826416015625
1582130736155,-28.833053435114504,-81.3181679389313,19.563969465648853,0.1770574951171875,-0.16608520507812502,-1.5893414306640625
1582130736255,-39.19946564885497,-94.41740458015268,20.49526717557252,0.1638739013671875,-0.14362426757812502,-1.4074566650390625
1582130736256,-21.107862595419846,-84.05099236641222,9.762442748091605,0.09185241699218749,-0.12506958007812502,-1.2645123291015625
1582130736360,-1.7490839694656493,-70.49374045801527,7.884580152671757,0.04729675292968749,-0.095894775390625,-1.1251080322265625
1582130736465,6.846335877862595,-61.59297709923664,9.45709923664122,0.02080749511718749,-0.051094970703125006,-1.0085308837890625
1582130736570,2.5867938931297703,-47.66931297709923,4.067786259541985,0.015192260742187491,-0.032906494140625006,-0.9000103759765625
1582130736675,-0.6651145038167944,-15.363969465648854,-2.9093129770992365,0.02935241699218749,-0.044625244140625006,-0.8209088134765625
1582130736780,-2.7567175572519087,13.04824427480916,3.2738931297709923,-0.003118286132812509,-0.046822509765625006,-0.8401959228515625
1582130736886,-1.5964122137404586,16.071145038167938,0.9685496183206106,-0.015203247070312509,-0.051461181640625006,-0.8913433837890625
